State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Circuit 6,7.98,(6.14 - 10.31),4.60,(3.38 - 6.23),4.97,(3.80 - 6.46)
Circuit 12,7.76,(5.80 - 10.32),4.83,(3.49 - 6.67),5.13,(3.84 - 6.83)
Circuit 13 (Hillsborough),7.37,(5.76 - 9.38),4.92,(3.64 - 6.61),5.26,(4.07 - 6.77)
Circuit 20,7.00,(5.25 - 9.27),4.32,(3.19 - 5.84),4.60,(3.51 - 6.02)
Region F - Southern (Circuits 11 and 16),5.05,(3.89 - 6.52),3.25,(2.37 - 4.44),3.49,(2.67 - 4.54)
Georgia,6.11,(5.04 - 7.39),3.86,(2.97 - 5.02),4.19,(3.36 - 5.23)
Region 1,6.71,(5.05 - 8.88),4.30,(3.01 - 6.12),4.62,(3.39 - 6.27)
Region 2,6.51,(4.74 - 8.89),4.05,(2.80 - 5.83),4.48,(3.28 - 6.08)
Region 3,5.47,(4.05 - 7.35),3.20,(2.22 - 4.59),3.50,(2.56 - 4.76)
Region 4,6.21,(4.50 - 8.52),4.18,(2.86 - 6.08),4.52,(3.28 - 6.19)
Region 5,5.55,(4.04 - 7.60),4.00,(2.78 - 5.74),4.27,(3.13 - 5.82)
Region 6,6.34,(4.63 - 8.63),4.14,(2.88 - 5.92),4.49,(3.29 - 6.10)
Hawaii,6.79,(5.46 - 8.41),3.44,(2.61 - 4.51),3.89,(3.11 - 4.87)
Hawaii Island,7.07,(5.13 - 9.67),3.67,(2.58 - 5.21),4.14,(3.08 - 5.55)
Honolulu,6.68,(5.18 - 8.58),3.38,(2.45 - 4.64),3.84,(2.96 - 4.97)
Kauai and Maui,7.10,(5.37 - 9.32),3.49,(2.52 - 4.82),3.92,(2.97 - 5.16)
Kauai,7.10,(5.07 - 9.87),3.11,(2.12 - 4.54),3.59,(2.60 - 4.95)
Maui,7.10,(5.10 - 9.79),3.66,(2.52 - 5.30),4.07,(2.95 - 5.60)
Idaho,9.16,(7.75 - 10.79),5.70,(4.61 - 7.04),6.23,(5.22 - 7.42)
Region 1,8.97,(6.65 - 11.99),5.52,(3.98 - 7.61),5.96,(4.48 - 7.89)
Region 2,9.29,(6.74 - 12.67),5.16,(3.68 - 7.20),5.94,(4.50 - 7.81)
Region 3,9.40,(7.03 - 12.46),6.21,(4.46 - 8.58),6.68,(5.04 - 8.80)
Region 4,9.38,(7.32 - 11.95),5.44,(4.04 - 7.28),5.98,(4.67 - 7.63)
Region 5,8.78,(6.47 - 11.82),5.79,(4.04 - 8.23),6.21,(4.56 - 8.41)
Region 6,9.84,(7.33 - 13.10),6.63,(4.77 - 9.14),7.17,(5.44 - 9.41)
Region 7,8.40,(6.22 - 11.24),5.31,(3.82 - 7.32),5.93,(4.51 - 7.75)
Illinois,7.40,(6.63 - 8.25),3.89,(3.31 - 4.56),4.42,(3.90 - 5.01)
Region I (Cook),7.03,(5.88 - 8.39),3.70,(2.90 - 4.70),4.18,(3.44 - 5.06)
Region II,7.45,(6.18 - 8.96),3.89,(3.07 - 4.90),4.42,(3.67 - 5.32)
Region III,7.44,(5.99 - 9.20),4.21,(3.24 - 5.44),4.80,(3.91 - 5.88)
Region IV,8.64,(6.73 - 11.03),4.16,(3.08 - 5.61),4.85,(3.81 - 6.16)
Region V,7.69,(6.06 - 9.70),4.13,(3.12 - 5.44),4.69,(3.74 - 5.86)
Indiana,8.93,(7.53 - 10.56),5.22,(4.17 - 6.51),5.76,(4.78 - 6.92)
Central,8.92,(6.78 - 11.64),5.07,(3.67 - 6.95),5.58,(4.24 - 7.30)
East,8.34,(6.21 - 11.10),5.18,(3.63 - 7.35),5.67,(4.21 - 7.58)
North Central,9.46,(7.10 - 12.49),5.57,(3.94 - 7.83),6.12,(4.57 - 8.16)
Northeast,8.87,(6.55 - 11.90),5.15,(3.66 - 7.21),5.68,(4.25 - 7.56)
Northwest,8.94,(6.62 - 11.97),4.85,(3.41 - 6.84),5.43,(4.04 - 7.27)
Southeast,8.86,(6.52 - 11.94),5.73,(4.06 - 8.02),6.12,(4.54 - 8.20)
Southwest,*,(* - *),5.06,(3.54 - 7.18),5.56,(4.09 - 7.52)
West,9.05,(6.85 - 11.87),5.16,(3.66 - 7.24),5.98,(4.55 - 7.81)
Iowa,7.79,(6.57 - 9.22),4.63,(3.69 - 5.79),5.11,(4.24 - 6.14)
Central,6.88,(5.13 - 9.17),4.44,(3.16 - 6.19),4.76,(3.56 - 6.34)
North Central,7.35,(5.40 - 9.93),4.19,(2.93 - 5.95),4.77,(3.57 - 6.35)
Northeast,7.78,(5.95 - 10.12),4.49,(3.24 - 6.18),5.00,(3.83 - 6.50)
Northwest,8.28,(6.22 - 10.93),4.32,(3.03 - 6.11),4.89,(3.65 - 6.52)
Southeast,8.30,(6.28 - 10.88),5.02,(3.62 - 6.91),5.54,(4.22 - 7.25)
Southwest,8.02,(5.82 - 10.96),5.43,(3.83 - 7.66),5.79,(4.27 - 7.81)
Kansas,7.31,(6.08 - 8.77),4.06,(3.19 - 5.16),4.58,(3.77 - 5.55)
Kansas City Metro,7.48,(5.71 - 9.76),4.14,(2.99 - 5.70),4.67,(3.58 - 6.08)
Northeast,7.08,(5.19 - 9.60),3.80,(2.69 - 5.36),4.38,(3.29 - 5.81)
South Central,7.43,(5.44 - 10.07),4.14,(2.85 - 5.96),4.66,(3.42 - 6.30)
Southeast,7.40,(5.33 - 10.19),4.79,(3.29 - 6.92),5.20,(3.77 - 7.13)
West,7.00,(5.14 - 9.48),3.77,(2.61 - 5.42),4.27,(3.16 - 5.76)
Wichita (Sedgwick),7.31,(5.43 - 9.78),4.02,(2.84 - 5.66),4.50,(3.37 - 5.99)
Kentucky,7.56,(6.32 - 9.03),5.36,(4.28 - 6.69),5.66,(4.67 - 6.85)
"Adanta, Cumberland River, and Lifeskills",7.76,(5.75 - 10.41),5.77,(4.14 - 7.98),6.04,(4.52 - 8.03)
"Bluegrass, Comprehend, and North Key",7.90,(6.03 - 10.28),5.44,(3.99 - 7.40),5.80,(4.44 - 7.55)
Communicare and River Valley,7.31,(5.35 - 9.91),5.51,(3.87 - 7.80),5.76,(4.22 - 7.81)
Four Rivers and Pennyroyal,7.37,(5.37 - 10.02),5.15,(3.67 - 7.20),5.47,(4.07 - 7.33)
"Kentucky River, Mountain, and Pathways",7.77,(5.76 - 10.40),5.67,(4.04 - 7.92),5.95,(4.42 - 7.96)
Seven Counties,7.02,(5.20 - 9.40),4.77,(3.43 - 6.59),5.06,(3.79 - 6.71)
Louisiana,7.12,(5.91 - 8.55),4.40,(3.49 - 5.52),4.83,(4.00 - 5.83)
Regions 1 and 3,6.86,(5.05 - 9.25),3.94,(2.75 - 5.63),4.39,(3.24 - 5.92)
Regions 2 and 9,7.35,(5.55 - 9.68),4.50,(3.27 - 6.17),4.99,(3.84 - 6.48)
"Regions 4, 5, and 6",7.45,(5.58 - 9.87),4.95,(3.58 - 6.80),5.35,(4.06 - 7.01)
Regions 7 and 8,6.68,(5.01 - 8.85),4.09,(2.97 - 5.60),4.53,(3.47 - 5.88)
Region 10 (Jefferson),6.93,(5.01 - 9.53),4.11,(2.87 - 5.86),4.48,(3.28 - 6.09)
Maine,8.40,(7.09 - 9.92),4.44,(3.52 - 5.59),4.93,(4.06 - 5.97)
Aroostook/Downeast,8.18,(6.19 - 10.73),4.31,(3.02 - 6.12),4.77,(3.53 - 6.42)
Central,8.13,(5.92 - 11.07),4.94,(3.48 - 6.97),5.33,(3.94 - 7.18)
Cumberland,9.06,(6.86 - 11.89),4.24,(2.97 - 6.02),4.85,(3.61 - 6.49)
Midcoast,7.55,(5.55 - 10.19),4.24,(2.92 - 6.12),4.60,(3.32 - 6.35)
Penquis,8.43,(6.38 - 11.06),4.55,(3.20 - 6.44),5.12,(3.84 - 6.80)
Western,8.43,(6.25 - 11.26),5.00,(3.60 - 6.89),5.43,(4.11 - 7.16)
York,8.35,(6.16 - 11.22),3.93,(2.77 - 5.53),4.44,(3.30 - 5.95)
Maryland,7.35,(6.11 - 8.82),3.53,(2.70 - 4.61),4.08,(3.29 - 5.06)
Anne Arundel,7.29,(5.34 - 9.87),3.59,(2.47 - 5.20),4.09,(2.99 - 5.57)
Baltimore City,6.87,(4.90 - 9.56),3.77,(2.52 - 5.61),4.31,(3.09 - 5.97)
Baltimore County,7.23,(5.33 - 9.72),3.51,(2.38 - 5.15),4.01,(2.91 - 5.51)
Montgomery,8.19,(6.04 - 11.03),3.01,(2.05 - 4.41),3.66,(2.68 - 4.98)
North Central,7.64,(5.53 - 10.47),3.31,(2.22 - 4.92),3.87,(2.78 - 5.36)
Northeast,8.28,(5.97 - 11.38),3.90,(2.65 - 5.71),4.48,(3.23 - 6.17)
Prince George's,6.26,(4.53 - 8.61),3.11,(2.13 - 4.52),3.67,(2.68 - 4.99)
South,7.71,(5.61 - 10.52),4.17,(2.90 - 5.97),4.69,(3.46 - 6.35)
West,7.73,(5.62 - 10.53),4.02,(2.76 - 5.80),4.52,(3.30 - 6.16)
Massachusetts,7.59,(6.37 - 9.03),4.06,(3.19 - 5.16),4.59,(3.78 - 5.57)
Boston,7.09,(5.18 - 9.64),4.43,(3.11 - 6.28),4.92,(3.67 - 6.58)
Central,7.53,(5.55 - 10.14),3.98,(2.80 - 5.62),4.51,(3.37 - 6.00)
Metrowest,7.42,(5.52 - 9.90),3.37,(2.36 - 4.80),3.94,(2.95 - 5.25)
Northeast,7.89,(5.97 - 10.36),4.00,(2.82 - 5.66),4.53,(3.39 - 6.03)
Southeast,7.32,(5.42 - 9.81),4.37,(3.07 - 6.20),4.77,(3.53 - 6.43)
Western,8.36,(6.27 - 11.06),4.68,(3.30 - 6.61),5.33,(4.01 - 7.07)
Michigan,8.34,(7.54 - 9.22),4.72,(4.09 - 5.44),5.25,(4.68 - 5.88)
Detroit City,6.57,(5.08 - 8.46),4.21,(3.10 - 5.69),4.60,(3.57 - 5.89)
Genesee,8.43,(6.43 - 10.97),4.96,(3.73 - 6.59),5.45,(4.28 - 6.93)
Kalamazoo,9.33,(7.17 - 12.07),5.41,(4.07 - 7.14),6.02,(4.76 - 7.58)
Kent,8.01,(6.19 - 10.29),4.66,(3.48 - 6.22),5.16,(4.04 - 6.57)
Lakeshore,8.94,(7.04 - 11.31),5.15,(3.91 - 6.77),5.74,(4.56 - 7.20)
Macomb,9.23,(7.21 - 11.74),4.87,(3.67 - 6.43),5.41,(4.27 - 6.84)
Mid South,7.66,(6.07 - 9.63),5.14,(3.93 - 6.70),5.58,(4.47 - 6.93)
Northern,8.24,(6.40 - 10.56),4.82,(3.62 - 6.38),5.33,(4.19 - 6.75)
Oakland,7.87,(6.32 - 9.75),3.96,(2.98 - 5.25),4.43,(3.50 - 5.60)
Pathways and Western,7.97,(6.13 - 10.31),4.89,(3.61 - 6.58),5.37,(4.18 - 6.87)
Riverhaven,8.67,(6.67 - 11.20),5.40,(4.03 - 7.20),5.83,(4.53 - 7.47)
Saginaw,8.22,(6.25 - 10.73),4.43,(3.24 - 6.02),4.99,(3.85 - 6.44)
Southeast,8.68,(7.02 - 10.69),4.53,(3.44 - 5.95),5.07,(4.05 - 6.34)
St. Clair,8.08,(6.09 - 10.65),5.02,(3.70 - 6.79),5.43,(4.17 - 7.04)
Washtenaw,9.73,(7.51 - 12.51),4.31,(3.21 - 5.77),5.30,(4.20 - 6.67)
Minnesota,7.91,(6.64 - 9.40),4.53,(3.57 - 5.72),5.02,(4.12 - 6.10)
Regions 1 and 2,7.62,(5.57 - 10.35),4.71,(3.28 - 6.72),5.16,(3.79 - 6.98)
Regions 3 and 4,8.74,(6.59 - 11.52),5.40,(3.91 - 7.42),5.94,(4.53 - 7.76)
Regions 5 and 6,7.73,(5.76 - 10.29),4.33,(3.07 - 6.08),4.87,(3.65 - 6.46)
Region 7A (Hennepin),7.72,(5.75 - 10.30),4.15,(2.96 - 5.78),4.60,(3.44 - 6.12)
Region 7B (Ramsey),8.39,(6.18 - 11.30),4.30,(3.03 - 6.07),4.90,(3.66 - 6.55)
Region 7C,7.41,(5.43 - 10.04),4.40,(3.11 - 6.18),4.82,(3.59 - 6.44)
Mississippi,6.32,(5.26 - 7.57),4.33,(3.41 - 5.49),4.64,(3.80 - 5.66)
Region 1,6.12,(4.56 - 8.15),4.79,(3.43 - 6.66),4.99,(3.73 - 6.65)
Region 2,5.98,(4.36 - 8.15),4.06,(2.82 - 5.83),4.38,(3.23 - 5.92)
Region 3,6.69,(4.91 - 9.07),4.18,(2.95 - 5.87),4.60,(3.45 - 6.11)
Region 4,5.88,(4.35 - 7.91),3.87,(2.74 - 5.43),4.18,(3.12 - 5.58)
Region 5,5.88,(4.28 - 8.03),4.15,(2.89 - 5.93),4.41,(3.24 - 5.99)
Region 6,6.58,(4.79 - 8.98),4.71,(3.26 - 6.75),5.03,(3.69 - 6.84)
Region 7,7.14,(5.30 - 9.54),4.38,(3.07 - 6.20),4.76,(3.52 - 6.40)
Missouri,7.96,(6.70 - 9.44),4.89,(3.87 - 6.16),5.33,(4.38 - 6.47)
Central,7.55,(5.58 - 10.15),4.75,(3.37 - 6.66),5.23,(3.93 - 6.94)
Eastern,7.86,(6.27 - 9.82),4.56,(3.41 - 6.07),5.02,(3.94 - 6.38)
Eastern (St. Louis City and County),7.56,(5.74 - 9.89),4.14,(2.93 - 5.83),4.62,(3.46 - 6.14)
Eastern (excluding St. Louis),8.40,(6.21 - 11.27),5.30,(3.70 - 7.53),5.73,(4.22 - 7.75)
Northwest,7.85,(6.21 - 9.88),4.51,(3.37 - 6.02),4.97,(3.88 - 6.34)
Northwest (Jackson),7.57,(5.61 - 10.14),4.30,(3.02 - 6.09),4.72,(3.48 - 6.37)
Northwest (excluding Jackson),8.07,(5.99 - 10.78),4.70,(3.28 - 6.70),5.18,(3.82 - 6.99)
Southeast,8.10,(5.97 - 10.92),5.51,(3.93 - 7.69),5.87,(4.37 - 7.84)
Southwest,8.66,(6.44 - 11.56),5.89,(4.15 - 8.30),6.29,(4.65 - 8.45)
Montana,8.31,(6.97 - 9.87),4.84,(3.85 - 6.07),5.35,(4.44 - 6.44)
Region 1,8.28,(6.10 - 11.14),4.45,(3.07 - 6.40),4.97,(3.65 - 6.73)
Region 2,7.52,(5.55 - 10.11),4.69,(3.32 - 6.57),5.10,(3.81 - 6.79)
Region 3,8.67,(6.55 - 11.40),4.60,(3.29 - 6.39),5.14,(3.88 - 6.77)
Region 4,8.76,(6.75 - 11.31),4.71,(3.47 - 6.37),5.37,(4.18 - 6.87)
Region 5,8.03,(6.20 - 10.34),5.28,(3.88 - 7.14),5.68,(4.39 - 7.32)
Nebraska,7.58,(6.31 - 9.07),4.07,(3.23 - 5.11),4.63,(3.84 - 5.58)
Regions 1 and 2,7.73,(5.94 - 10.00),3.95,(2.94 - 5.29),4.50,(3.50 - 5.76)
Region 1,*,(* - *),3.81,(2.65 - 5.45),4.37,(3.20 - 5.92)
Region 2,7.97,(5.82 - 10.83),*,(* - *),4.61,(3.43 - 6.17)
Region 3,7.72,(5.76 - 10.28),4.09,(2.89 - 5.77),4.67,(3.50 - 6.21)
Region 4,8.02,(5.89 - 10.82),3.88,(2.67 - 5.59),4.52,(3.34 - 6.09)
Region 5,7.31,(5.55 - 9.58),4.06,(2.94 - 5.58),4.64,(3.57 - 6.02)
Region 6,7.56,(5.82 - 9.76),4.16,(3.09 - 5.57),4.69,(3.66 - 5.98)
Nevada,7.36,(6.02 - 8.96),4.41,(3.42 - 5.66),4.80,(3.88 - 5.92)
Clark,7.12,(5.58 - 9.05),4.38,(3.28 - 5.82),4.74,(3.71 - 6.03)
Rural,7.67,(5.65 - 10.34),4.61,(3.20 - 6.59),5.01,(3.66 - 6.82)
Washoe,8.12,(6.09 - 10.75),4.38,(3.09 - 6.16),4.89,(3.66 - 6.51)
New Hampshire,9.02,(7.59 - 10.68),4.71,(3.75 - 5.91),5.29,(4.38 - 6.39)
Central,8.96,(7.17 - 11.16),5.09,(3.86 - 6.70),5.65,(4.47 - 7.12)
Central 1,9.57,(7.14 - 12.70),5.24,(3.76 - 7.27),5.91,(4.47 - 7.78)
Central 2,8.30,(6.31 - 10.84),4.96,(3.50 - 6.97),5.40,(4.02 - 7.22)
Northern,8.31,(6.15 - 11.14),4.80,(3.38 - 6.78),5.31,(3.96 - 7.09)
Southern,9.23,(7.51 - 11.30),4.51,(3.44 - 5.88),5.11,(4.09 - 6.38)
