State/Substate Region,18-25 (Estimate),18-25 (95% Confidence Interval),26+ (Estimate),26+ (95% Confidence Interval),18+ (Estimate),18+ (95% Confidence Interval)
Total United States,7.55,(7.28 - 7.82),4.26,(4.07 - 4.46),4.75,(4.58 - 4.92)
Northeast,7.66,(7.20 - 8.15),4.09,(3.74 - 4.47),4.61,(4.29 - 4.94)
Midwest,7.86,(7.49 - 8.26),4.58,(4.28 - 4.91),5.07,(4.80 - 5.36)
South,7.07,(6.71 - 7.45),4.26,(3.97 - 4.57),4.67,(4.41 - 4.94)
West,7.89,(7.37 - 8.45),4.10,(3.72 - 4.51),4.68,(4.34 - 5.04)
Alabama,7.22,(6.00 - 8.65),5.01,(3.97 - 6.30),5.33,(4.38 - 6.48)
Region 1,7.29,(5.45 - 9.68),5.18,(3.78 - 7.05),5.46,(4.14 - 7.15)
Region 2,7.33,(5.52 - 9.66),5.27,(3.82 - 7.22),5.56,(4.21 - 7.32)
Region 3,6.48,(4.82 - 8.66),4.24,(2.90 - 6.14),4.64,(3.39 - 6.31)
Region 4,7.73,(5.81 - 10.20),5.02,(3.63 - 6.91),5.40,(4.09 - 7.09)
Alaska,6.88,(5.65 - 8.35),4.03,(3.13 - 5.18),4.50,(3.65 - 5.52)
Anchorage,6.98,(5.34 - 9.07),4.01,(2.89 - 5.53),4.48,(3.43 - 5.84)
Northern,6.56,(4.85 - 8.81),4.17,(2.93 - 5.90),4.63,(3.46 - 6.17)
South Central,6.82,(5.05 - 9.15),4.22,(3.00 - 5.90),4.61,(3.46 - 6.13)
Southeast,7.46,(5.38 - 10.25),3.44,(2.38 - 4.94),3.99,(2.93 - 5.40)
Arizona,7.52,(6.19 - 9.10),4.37,(3.41 - 5.58),4.82,(3.92 - 5.91)
Maricopa,7.37,(5.80 - 9.31),4.46,(3.32 - 5.96),4.87,(3.81 - 6.21)
Pima,7.80,(5.68 - 10.61),3.96,(2.78 - 5.60),4.52,(3.37 - 6.04)
Rural North,8.17,(6.00 - 11.02),4.50,(3.17 - 6.33),5.02,(3.73 - 6.74)
Rural South,7.31,(5.32 - 9.97),4.32,(3.02 - 6.16),4.77,(3.52 - 6.43)
Arkansas,8.37,(7.05 - 9.92),6.02,(4.81 - 7.51),6.35,(5.24 - 7.67)
Catchment Area 1,8.35,(6.15 - 11.24),5.89,(4.19 - 8.21),6.26,(4.67 - 8.34)
Catchment Area 2,8.54,(6.21 - 11.63),6.42,(4.56 - 8.98),6.70,(4.94 - 9.02)
Catchment Area 3,8.43,(6.27 - 11.25),6.18,(4.46 - 8.52),6.51,(4.91 - 8.60)
Catchment Area 4,8.48,(6.27 - 11.37),5.68,(3.95 - 8.12),6.04,(4.41 - 8.23)
Catchment Area 5,9.54,(7.32 - 12.36),7.11,(5.16 - 9.71),7.49,(5.72 - 9.76)
Catchment Area 6,7.09,(5.20 - 9.59),5.66,(3.94 - 8.05),5.87,(4.28 - 7.99)
Catchment Area 7,7.80,(5.66 - 10.65),5.78,(4.04 - 8.20),6.05,(4.42 - 8.24)
Catchment Area 8,7.91,(5.87 - 10.57),5.33,(3.81 - 7.40),5.66,(4.22 - 7.54)
California,7.77,(6.94 - 8.68),3.60,(3.04 - 4.27),4.27,(3.76 - 4.84)
Region 1R,8.54,(6.46 - 11.21),4.38,(3.16 - 6.04),5.09,(3.92 - 6.60)
Region 2R,8.93,(6.74 - 11.74),4.42,(3.17 - 6.12),5.17,(3.96 - 6.73)
Region 3R (Sacramento),7.78,(5.83 - 10.32),3.93,(2.81 - 5.47),4.53,(3.44 - 5.95)
Region 4R,7.71,(5.79 - 10.20),3.42,(2.48 - 4.71),4.04,(3.10 - 5.24)
Region 5R (San Francisco),8.00,(5.98 - 10.63),3.72,(2.65 - 5.20),4.11,(3.05 - 5.51)
Region 6 (Santa Clara),7.55,(5.65 - 10.03),2.99,(2.16 - 4.13),3.59,(2.75 - 4.67)
Region 7R (Contra Costa),8.19,(6.13 - 10.87),3.21,(2.28 - 4.50),3.91,(2.97 - 5.14)
Region 8R (Alameda),7.78,(5.90 - 10.20),3.12,(2.24 - 4.34),3.76,(2.90 - 4.88)
Region 9R (San Mateo),8.02,(5.93 - 10.76),2.94,(2.06 - 4.17),3.53,(2.65 - 4.70)
Region 10,8.57,(6.45 - 11.31),3.62,(2.63 - 4.97),4.48,(3.48 - 5.74)
Region 11 (Los Angeles),7.62,(6.61 - 8.77),3.49,(2.85 - 4.26),4.14,(3.55 - 4.82)
LA SPA 1 and 5,7.96,(5.93 - 10.60),3.34,(2.38 - 4.67),4.04,(3.07 - 5.29)
LA SPA 2,7.92,(6.01 - 10.36),3.64,(2.64 - 5.00),4.27,(3.29 - 5.52)
LA SPA 3,7.85,(5.95 - 10.27),3.27,(2.38 - 4.50),3.99,(3.10 - 5.13)
LA SPA 4,7.20,(5.41 - 9.52),3.81,(2.74 - 5.28),4.28,(3.25 - 5.62)
LA SPA 6,7.30,(5.51 - 9.61),3.51,(2.51 - 4.90),4.31,(3.33 - 5.57)
LA SPA 7,7.68,(5.82 - 10.08),3.51,(2.52 - 4.86),4.24,(3.26 - 5.49)
LA SPA 8,7.23,(5.41 - 9.60),3.33,(2.38 - 4.63),3.92,(2.99 - 5.13)
Region 12R,7.52,(5.61 - 10.02),4.04,(2.90 - 5.59),4.61,(3.51 - 6.03)
Regions 13 and 19R,7.61,(5.87 - 9.80),3.96,(2.95 - 5.28),4.58,(3.61 - 5.79)
Region 13 (Riverside),7.68,(5.83 - 10.05),3.99,(2.94 - 5.41),4.62,(3.60 - 5.91)
Region 19R (Imperial),6.76,(4.98 - 9.12),3.47,(2.47 - 4.85),4.10,(3.12 - 5.37)
Region 14 (Orange),8.21,(6.48 - 10.36),3.33,(2.47 - 4.47),4.05,(3.21 - 5.10)
Region 15R (Fresno),6.94,(5.09 - 9.39),3.66,(2.63 - 5.08),4.27,(3.26 - 5.59)
Region 16R (San Diego),7.92,(6.15 - 10.14),3.42,(2.53 - 4.61),4.20,(3.33 - 5.28)
Region 17R,7.53,(5.73 - 9.82),4.11,(2.98 - 5.64),4.75,(3.67 - 6.12)
Region 18R (San Bernardino),7.19,(5.57 - 9.25),4.05,(2.95 - 5.54),4.63,(3.61 - 5.93)
Region 20R,7.00,(5.17 - 9.41),4.06,(2.90 - 5.66),4.58,(3.46 - 6.03)
Region 21R,7.84,(5.85 - 10.44),3.89,(2.77 - 5.42),4.61,(3.51 - 6.02)
Colorado,8.19,(6.84 - 9.77),4.85,(3.82 - 6.13),5.33,(4.38 - 6.48)
Region 1,8.13,(6.04 - 10.85),4.92,(3.51 - 6.86),5.48,(4.15 - 7.22)
Regions 2 and 7,8.20,(6.47 - 10.35),4.77,(3.56 - 6.36),5.24,(4.10 - 6.67)
Region 3,8.60,(6.43 - 11.41),5.08,(3.65 - 7.05),5.62,(4.26 - 7.39)
Region 4,7.46,(5.38 - 10.25),4.66,(3.18 - 6.79),5.08,(3.67 - 7.01)
Regions 5 and 6,8.00,(5.87 - 10.82),4.92,(3.45 - 6.99),5.34,(3.94 - 7.21)
Connecticut,8.30,(6.95 - 9.88),3.99,(3.10 - 5.13),4.59,(3.75 - 5.62)
Eastern,8.51,(6.22 - 11.53),4.45,(3.10 - 6.35),5.16,(3.85 - 6.88)
North Central,7.90,(6.00 - 10.33),3.74,(2.64 - 5.27),4.30,(3.24 - 5.68)
Northwestern,7.92,(5.90 - 10.56),3.98,(2.80 - 5.63),4.49,(3.35 - 6.00)
South Central,8.81,(6.71 - 11.49),4.36,(3.10 - 6.08),4.98,(3.76 - 6.57)
Southwest,8.40,(6.21 - 11.28),3.65,(2.53 - 5.24),4.26,(3.14 - 5.74)
Delaware,7.72,(6.46 - 9.21),4.21,(3.30 - 5.36),4.71,(3.86 - 5.73)
Kent,8.31,(6.34 - 10.82),5.40,(3.81 - 7.60),5.85,(4.37 - 7.79)
New Castle (excluding Wilmington City),7.94,(6.25 - 10.04),3.75,(2.74 - 5.12),4.39,(3.42 - 5.61)
Sussex,7.01,(5.20 - 9.38),4.23,(3.00 - 5.94),4.54,(3.37 - 6.11)
Wilmington City,6.49,(4.76 - 8.80),4.46,(3.09 - 6.39),4.74,(3.45 - 6.47)
District of Columbia,6.43,(5.30 - 7.79),3.79,(2.97 - 4.82),4.26,(3.51 - 5.18)
Ward 1,6.43,(4.71 - 8.71),4.27,(3.02 - 6.00),4.67,(3.49 - 6.22)
Ward 2,7.58,(5.57 - 10.24),4.37,(3.10 - 6.12),5.19,(3.96 - 6.78)
Ward 3,7.36,(5.44 - 9.88),3.93,(2.77 - 5.57),4.52,(3.38 - 6.02)
Ward 4,6.09,(4.35 - 8.47),3.26,(2.24 - 4.73),3.63,(2.64 - 4.98)
Ward 5,5.93,(4.26 - 8.20),3.33,(2.29 - 4.82),3.81,(2.81 - 5.14)
Ward 6,6.00,(4.37 - 8.18),3.92,(2.78 - 5.50),4.19,(3.10 - 5.65)
Ward 7,5.14,(3.67 - 7.16),3.26,(2.26 - 4.68),3.56,(2.62 - 4.82)
Ward 8,5.50,(3.95 - 7.60),3.86,(2.68 - 5.54),4.20,(3.13 - 5.63)
Florida,6.82,(6.08 - 7.65),4.38,(3.77 - 5.09),4.70,(4.14 - 5.33)
Region A - Northwest,7.24,(5.97 - 8.75),4.78,(3.80 - 6.00),5.19,(4.29 - 6.27)
Circuit 1,7.63,(5.73 - 10.08),4.60,(3.30 - 6.38),5.06,(3.82 - 6.67)
Circuit 2,6.55,(4.92 - 8.68),4.42,(3.21 - 6.05),4.88,(3.77 - 6.30)
Circuit 14,7.68,(5.73 - 10.22),5.62,(4.04 - 7.75),5.90,(4.43 - 7.82)
Region B - Northeast,7.32,(6.09 - 8.78),4.88,(3.91 - 6.07),5.25,(4.36 - 6.31)
Circuits 3 and 8,6.52,(4.89 - 8.64),4.72,(3.43 - 6.47),5.10,(3.92 - 6.59)
Circuit 4,7.72,(5.80 - 10.21),5.20,(3.76 - 7.16),5.56,(4.21 - 7.33)
Circuit 7,7.60,(5.71 - 10.05),4.58,(3.36 - 6.23),4.97,(3.80 - 6.47)
Region C - Central,7.31,(6.30 - 8.47),4.68,(3.90 - 5.61),5.02,(4.29 - 5.85)
Circuit 5,6.70,(5.03 - 8.87),4.73,(3.45 - 6.45),4.94,(3.74 - 6.52)
Circuit 9,7.72,(6.04 - 9.83),4.83,(3.62 - 6.41),5.25,(4.11 - 6.67)
Circuit 10,7.16,(5.47 - 9.33),5.24,(3.80 - 7.19),5.49,(4.16 - 7.22)
Circuit 18,7.60,(5.83 - 9.85),4.14,(3.02 - 5.63),4.58,(3.51 - 5.94)
Circuit 19,6.88,(5.15 - 9.13),4.53,(3.25 - 6.28),4.80,(3.58 - 6.41)
Region D - Southeast,5.82,(4.69 - 7.20),3.89,(3.03 - 4.98),4.11,(3.31 - 5.11)
Circuit 15 (Palm Beach),6.52,(4.93 - 8.59),3.70,(2.68 - 5.09),4.01,(3.04 - 5.28)
Circuit 17 (Broward),5.33,(4.01 - 7.06),4.03,(2.94 - 5.51),4.19,(3.17 - 5.52)
Region E - Sun Coast,7.52,(6.40 - 8.81),4.64,(3.82 - 5.64),4.97,(4.20 - 5.88)
